#"Progress (%)"	"Step"	"Speed (ns/day)"	"Time Remaining"
: 30.0%	3000	41.9	2:9:01:27
: 40.0%	4000	41.9	1:8:35:09
: 50.0%	5000	41.9	20:22:00
: 60.0%	6000	41.9	13:02:06
: 70.0%	7000	41.9	8:08:49
: 80.0%	8000	41.9	4:39:20
: 90.0%	9000	41.9	2:02:12
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:23:39
: 30.0%	3000	41.9	2:9:03:15
: 40.0%	4000	41.9	1:8:36:22
: 50.0%	5000	41.9	20:22:52
: 60.0%	6000	41.9	13:02:43
: 70.0%	7000	41.9	8:09:15
: 80.0%	8000	41.9	4:39:36
: 90.0%	9000	41.9	2:02:20
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:31:21
: 30.0%	3000	41.9	2:9:06:18
: 40.0%	4000	41.9	1:8:37:55
: 50.0%	5000	41.9	20:23:43
: 60.0%	6000	41.9	13:03:12
: 70.0%	7000	41.9	8:09:30
: 80.0%	8000	41.9	4:39:43
: 90.0%	9000	41.9	2:02:23
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:34:40
: 30.0%	3000	41.9	2:9:08:04
: 40.0%	4000	41.9	1:8:39:08
: 50.0%	5000	41.9	20:24:36
: 60.0%	6000	41.9	13:03:50
: 70.0%	7000	41.9	8:09:57
: 80.0%	8000	41.9	4:40:00
: 90.0%	9000	41.9	2:02:31
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:42:23
: 30.0%	3000	41.9	2:9:11:07
: 40.0%	4000	41.9	1:8:40:41
: 50.0%	5000	41.9	20:25:27
: 60.0%	6000	41.9	13:04:18
: 70.0%	7000	41.9	8:10:12
: 80.0%	8000	41.9	4:40:07
: 90.0%	9000	41.9	2:02:33
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:45:41
: 30.0%	3000	41.9	2:9:12:53
: 40.0%	4000	41.9	1:8:41:52
: 50.0%	5000	41.9	20:26:18
: 60.0%	6000	41.9	13:04:55
: 70.0%	7000	41.9	8:10:38
: 80.0%	8000	41.9	4:40:23
: 90.0%	9000	41.9	2:02:41
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:53:22
: 30.0%	3000	41.9	2:9:15:55
: 40.0%	4000	41.9	1:8:43:25
: 50.0%	5000	41.9	20:27:10
: 60.0%	6000	41.9	13:05:24
: 70.0%	7000	41.9	8:10:53
: 80.0%	8000	41.9	4:40:30
: 90.0%	9000	41.9	2:02:43
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:10:56:39
: 30.0%	3000	41.9	2:9:17:41
: 40.0%	4000	41.9	1:8:44:36
: 50.0%	5000	41.9	20:28:01
: 60.0%	6000	41.9	13:06:01
: 70.0%	7000	41.9	8:11:19
: 80.0%	8000	41.9	4:40:47
: 90.0%	9000	41.9	2:02:51
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:04:23
: 30.0%	3000	41.9	2:9:20:44
: 40.0%	4000	41.9	1:8:46:11
: 50.0%	5000	41.9	20:28:53
: 60.0%	6000	41.9	13:06:30
: 70.0%	7000	41.9	8:11:34
: 80.0%	8000	41.9	4:40:54
: 90.0%	9000	41.9	2:02:54
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:07:42
: 30.0%	3000	41.9	2:9:22:30
: 40.0%	4000	41.9	1:8:47:23
: 50.0%	5000	41.9	20:29:45
: 60.0%	6000	41.9	13:07:08
: 70.0%	7000	41.9	8:12:01
: 80.0%	8000	41.9	4:41:11
: 90.0%	9000	41.9	2:03:01
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:15:26
: 30.0%	3000	41.9	2:9:25:34
: 40.0%	4000	41.9	1:8:48:56
: 50.0%	5000	41.9	20:30:37
: 60.0%	6000	41.9	13:07:36
: 70.0%	7000	41.9	8:12:16
: 80.0%	8000	41.9	4:41:18
: 90.0%	9000	41.9	2:03:04
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:18:45
: 30.0%	3000	41.9	2:9:27:21
: 40.0%	4000	41.9	1:8:50:08
: 50.0%	5000	41.9	20:31:28
: 60.0%	6000	41.9	13:08:14
: 70.0%	7000	41.9	8:12:42
: 80.0%	8000	41.9	4:41:34
: 90.0%	9000	41.9	2:03:12
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:26:29
: 30.0%	3000	41.9	2:9:30:25
: 40.0%	4000	41.9	1:8:51:42
: 50.0%	5000	41.9	20:32:20
: 60.0%	6000	41.9	13:08:43
: 70.0%	7000	41.9	8:12:57
: 80.0%	8000	41.9	4:41:41
: 90.0%	9000	41.9	2:03:14
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:29:51
: 30.0%	3000	41.9	2:9:32:11
: 40.0%	4000	41.9	1:8:52:54
: 50.0%	5000	41.9	20:33:12
: 60.0%	6000	41.9	13:09:20
: 70.0%	7000	41.9	8:13:23
: 80.0%	8000	41.9	4:41:58
: 90.0%	9000	41.9	2:03:22
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:37:31
: 30.0%	3000	41.9	2:9:35:14
: 40.0%	4000	41.9	1:8:54:28
: 50.0%	5000	41.9	20:34:04
: 60.0%	6000	41.9	13:09:49
: 70.0%	7000	41.9	8:13:38
: 80.0%	8000	41.9	4:42:05
: 90.0%	9000	41.9	2:03:25
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:40:50
: 30.0%	3000	41.9	2:9:37:00
: 40.0%	4000	41.9	1:8:55:39
: 50.0%	5000	41.9	20:34:55
: 60.0%	6000	41.9	13:10:26
: 70.0%	7000	41.9	8:14:05
: 80.0%	8000	41.9	4:42:22
: 90.0%	9000	41.9	2:03:33
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:48:31
: 30.0%	3000	41.9	2:9:40:03
: 40.0%	4000	41.9	1:8:57:13
: 50.0%	5000	41.9	20:35:47
: 60.0%	6000	41.9	13:10:55
: 70.0%	7000	41.9	8:14:20
: 80.0%	8000	41.9	4:42:29
: 90.0%	9000	41.9	2:03:35
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:51:47
: 30.0%	3000	41.9	2:9:41:49
: 40.0%	4000	41.9	1:8:58:25
: 50.0%	5000	41.9	20:36:39
: 60.0%	6000	41.9	13:11:32
: 70.0%	7000	41.9	8:14:46
: 80.0%	8000	41.9	4:42:45
: 90.0%	9000	41.9	2:03:43
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:11:59:32
: 30.0%	3000	41.9	2:9:44:52
: 40.0%	4000	41.9	1:8:59:58
: 50.0%	5000	41.9	20:37:30
: 60.0%	6000	41.9	13:12:01
: 70.0%	7000	41.9	8:15:01
: 80.0%	8000	41.9	4:42:52
: 90.0%	9000	41.9	2:03:45
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:02:45
: 30.0%	3000	41.9	2:9:46:36
: 40.0%	4000	41.9	1:9:01:08
: 50.0%	5000	41.9	20:38:21
: 60.0%	6000	41.9	13:12:38
: 70.0%	7000	41.9	8:15:27
: 80.0%	8000	41.9	4:43:09
: 90.0%	9000	41.9	2:03:53
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:10:27
: 30.0%	3000	41.9	2:9:49:39
: 40.0%	4000	41.9	1:9:02:42
: 50.0%	5000	41.9	20:39:12
: 60.0%	6000	41.9	13:13:06
: 70.0%	7000	41.9	8:15:42
: 80.0%	8000	41.9	4:43:16
: 90.0%	9000	41.9	2:03:55
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:13:45
: 30.0%	3000	41.9	2:9:51:25
: 40.0%	4000	41.9	1:9:03:54
: 50.0%	5000	41.9	20:40:04
: 60.0%	6000	41.9	13:13:44
: 70.0%	7000	41.9	8:16:08
: 80.0%	8000	41.9	4:43:32
: 90.0%	9000	41.9	2:04:03
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:21:31
: 30.0%	3000	41.9	2:9:54:29
: 40.0%	4000	41.9	1:9:05:28
: 50.0%	5000	41.9	20:40:56
: 60.0%	6000	41.9	13:14:13
: 70.0%	7000	41.9	8:16:24
: 80.0%	8000	41.9	4:43:39
: 90.0%	9000	41.9	2:04:06
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:24:49
: 30.0%	3000	41.9	2:9:56:15
: 40.0%	4000	41.9	1:9:06:39
: 50.0%	5000	41.9	20:41:48
: 60.0%	6000	41.9	13:14:50
: 70.0%	7000	41.9	8:16:50
: 80.0%	8000	41.9	4:43:56
: 90.0%	9000	41.9	2:04:14
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:32:31
: 30.0%	3000	41.9	2:9:59:18
: 40.0%	4000	41.9	1:9:08:13
: 50.0%	5000	41.9	20:42:39
: 60.0%	6000	41.9	13:15:19
: 70.0%	7000	41.9	8:17:05
: 80.0%	8000	41.9	4:44:03
: 90.0%	9000	41.9	2:04:16
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:35:53
: 30.0%	3000	41.9	2:10:01:06
: 40.0%	4000	41.9	1:9:09:25
: 50.0%	5000	41.9	20:43:32
: 60.0%	6000	41.9	13:15:57
: 70.0%	7000	41.9	8:17:31
: 80.0%	8000	41.9	4:44:20
: 90.0%	9000	41.9	2:04:24
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:43:35
: 30.0%	3000	41.9	2:10:04:09
: 40.0%	4000	41.9	1:9:10:59
: 50.0%	5000	41.9	20:44:23
: 60.0%	6000	41.9	13:16:25
: 70.0%	7000	41.9	8:17:46
: 80.0%	8000	41.9	4:44:27
: 90.0%	9000	41.9	2:04:27
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:46:54
: 30.0%	3000	41.9	2:10:05:55
: 40.0%	4000	41.9	1:9:12:11
: 50.0%	5000	41.9	20:45:15
: 60.0%	6000	41.9	13:17:03
: 70.0%	7000	41.9	8:18:13
: 80.0%	8000	41.9	4:44:43
: 90.0%	9000	41.9	2:04:35
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:54:39
: 30.0%	3000	41.9	2:10:08:59
: 40.0%	4000	41.9	1:9:13:45
: 50.0%	5000	41.9	20:46:07
: 60.0%	6000	41.9	13:17:32
: 70.0%	7000	41.9	8:18:28
: 80.0%	8000	41.9	4:44:50
: 90.0%	9000	41.9	2:04:37
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:12:58:00
: 30.0%	3000	41.9	2:10:10:46
: 40.0%	4000	41.9	1:9:14:57
: 50.0%	5000	41.9	20:46:59
: 60.0%	6000	41.9	13:18:10
: 70.0%	7000	41.9	8:18:54
: 80.0%	8000	41.9	4:45:07
: 90.0%	9000	41.9	2:04:45
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:05:46
: 30.0%	3000	41.9	2:10:13:51
: 40.0%	4000	41.9	1:9:16:31
: 50.0%	5000	41.9	20:47:51
: 60.0%	6000	41.9	13:18:38
: 70.0%	7000	41.9	8:19:09
: 80.0%	8000	41.9	4:45:14
: 90.0%	9000	41.9	2:04:47
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:09:04
: 30.0%	3000	41.9	2:10:15:37
: 40.0%	4000	41.9	1:9:17:43
: 50.0%	5000	41.9	20:48:43
: 60.0%	6000	41.9	13:19:16
: 70.0%	7000	41.9	8:19:36
: 80.0%	8000	41.9	4:45:31
: 90.0%	9000	41.9	2:04:55
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:16:47
: 30.0%	3000	41.9	2:10:18:40
: 40.0%	4000	41.9	1:9:19:17
: 50.0%	5000	41.9	20:49:34
: 60.0%	6000	41.9	13:19:44
: 70.0%	7000	41.9	8:19:51
: 80.0%	8000	41.9	4:45:38
: 90.0%	9000	41.9	2:04:58
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:20:06
: 30.0%	3000	41.9	2:10:20:27
: 40.0%	4000	41.9	1:9:20:29
: 50.0%	5000	41.9	20:50:26
: 60.0%	6000	41.9	13:20:22
: 70.0%	7000	41.9	8:20:17
: 80.0%	8000	41.9	4:45:54
: 90.0%	9000	41.9	2:05:06
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:27:50
: 30.0%	3000	41.9	2:10:23:30
: 40.0%	4000	41.9	1:9:22:02
: 50.0%	5000	41.9	20:51:18
: 60.0%	6000	41.9	13:20:51
: 70.0%	7000	41.9	8:20:32
: 80.0%	8000	41.9	4:46:01
: 90.0%	9000	41.9	2:05:08
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:31:08
: 30.0%	3000	41.9	2:10:25:16
: 40.0%	4000	41.9	1:9:23:14
: 50.0%	5000	41.9	20:52:10
: 60.0%	6000	41.9	13:21:28
: 70.0%	7000	41.9	8:20:58
: 80.0%	8000	41.9	4:46:18
: 90.0%	9000	41.9	2:05:16
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:38:51
: 30.0%	3000	41.9	2:10:28:19
: 40.0%	4000	41.9	1:9:24:48
: 50.0%	5000	41.9	20:53:01
: 60.0%	6000	41.9	13:21:57
: 70.0%	7000	41.9	8:21:14
: 80.0%	8000	41.9	4:46:25
: 90.0%	9000	41.9	2:05:18
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:42:10
: 30.0%	3000	41.9	2:10:30:06
: 40.0%	4000	41.9	1:9:26:00
: 50.0%	5000	41.9	20:53:53
: 60.0%	6000	41.9	13:22:35
: 70.0%	7000	41.9	8:21:40
: 80.0%	8000	41.9	4:46:42
: 90.0%	9000	41.9	2:05:26
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:49:54
: 30.0%	3000	41.9	2:10:33:09
: 40.0%	4000	41.9	1:9:27:33
: 50.0%	5000	41.9	20:54:45
: 60.0%	6000	41.9	13:23:03
: 70.0%	7000	41.9	8:21:55
: 80.0%	8000	41.9	4:46:49
: 90.0%	9000	41.9	2:05:29
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:13:53:13
: 30.0%	3000	41.9	2:10:34:56
: 40.0%	4000	41.9	1:9:28:45
: 50.0%	5000	41.9	20:55:37
: 60.0%	6000	41.9	13:23:41
: 70.0%	7000	41.9	8:22:21
: 80.0%	8000	41.9	4:47:05
: 90.0%	9000	41.9	2:05:37
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:00:55
: 30.0%	3000	41.9	2:10:37:59
: 40.0%	4000	41.9	1:9:30:19
: 50.0%	5000	41.9	20:56:28
: 60.0%	6000	41.9	13:24:09
: 70.0%	7000	41.9	8:22:36
: 80.0%	8000	41.9	4:47:12
: 90.0%	9000	41.9	2:05:39
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:04:17
: 30.0%	3000	41.9	2:10:39:46
: 40.0%	4000	41.9	1:9:31:32
: 50.0%	5000	41.9	20:57:20
: 60.0%	6000	41.9	13:24:47
: 70.0%	7000	41.9	8:23:03
: 80.0%	8000	41.9	4:47:29
: 90.0%	9000	41.9	2:05:47
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:12:02
: 30.0%	3000	41.9	2:10:42:50
: 40.0%	4000	41.9	1:9:33:05
: 50.0%	5000	41.9	20:58:12
: 60.0%	6000	41.9	13:25:16
: 70.0%	7000	41.9	8:23:18
: 80.0%	8000	41.9	4:47:36
: 90.0%	9000	41.9	2:05:49
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:15:20
: 30.0%	3000	41.9	2:10:44:36
: 40.0%	4000	41.9	1:9:34:16
: 50.0%	5000	41.9	20:59:04
: 60.0%	6000	41.9	13:25:53
: 70.0%	7000	41.9	8:23:44
: 80.0%	8000	41.9	4:47:53
: 90.0%	9000	41.9	2:05:57
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:22:59
: 30.0%	3000	41.9	2:10:47:38
: 40.0%	4000	41.9	1:9:35:50
: 50.0%	5000	41.9	20:59:55
: 60.0%	6000	41.9	13:26:22
: 70.0%	7000	41.9	8:23:59
: 80.0%	8000	41.9	4:48:00
: 90.0%	9000	41.9	2:06:00
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:26:17
: 30.0%	3000	41.9	2:10:49:24
: 40.0%	4000	41.9	1:9:37:02
: 50.0%	5000	41.9	21:00:47
: 60.0%	6000	41.9	13:26:59
: 70.0%	7000	41.9	8:24:25
: 80.0%	8000	41.9	4:48:16
: 90.0%	9000	41.9	2:06:08
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:34:01
: 30.0%	3000	41.9	2:10:52:27
: 40.0%	4000	41.9	1:9:38:35
: 50.0%	5000	41.9	21:01:38
: 60.0%	6000	41.9	13:27:28
: 70.0%	7000	41.9	8:24:40
: 80.0%	8000	41.9	4:48:23
: 90.0%	9000	41.9	2:06:10
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:37:18
: 30.0%	3000	41.9	2:10:54:14
: 40.0%	4000	41.9	1:9:39:47
: 50.0%	5000	41.9	21:02:30
: 60.0%	6000	41.9	13:28:05
: 70.0%	7000	41.9	8:25:07
: 80.0%	8000	41.9	4:48:40
: 90.0%	9000	41.9	2:06:18
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:45:03
: 30.0%	3000	41.9	2:10:57:17
: 40.0%	4000	41.9	1:9:41:21
: 50.0%	5000	41.9	21:03:22
: 60.0%	6000	41.9	13:28:34
: 70.0%	7000	41.9	8:25:22
: 80.0%	8000	41.9	4:48:47
: 90.0%	9000	41.9	2:06:20
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:48:21
: 30.0%	3000	41.9	2:10:59:02
: 40.0%	4000	41.9	1:9:42:32
: 50.0%	5000	41.9	21:04:13
: 60.0%	6000	41.9	13:29:12
: 70.0%	7000	41.9	8:25:48
: 80.0%	8000	41.9	4:49:03
: 90.0%	9000	41.9	2:06:28
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:56:04
: 30.0%	3000	41.9	2:11:02:06
: 40.0%	4000	41.9	1:9:44:06
: 50.0%	5000	41.9	21:05:05
: 60.0%	6000	41.9	13:29:40
: 70.0%	7000	41.9	8:26:03
: 80.0%	8000	41.9	4:49:11
: 90.0%	9000	41.9	2:06:31
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:14:59:21
: 30.0%	3000	41.9	2:11:03:52
: 40.0%	4000	41.9	1:9:45:17
: 50.0%	5000	41.9	21:05:57
: 60.0%	6000	41.9	13:30:18
: 70.0%	7000	41.9	8:26:29
: 80.0%	8000	41.9	4:49:27
: 90.0%	9000	41.9	2:06:39
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:15:07:04
: 30.0%	3000	41.9	2:11:06:55
: 40.0%	4000	41.9	1:9:46:51
: 50.0%	5000	41.9	21:06:48
: 60.0%	6000	41.9	13:30:46
: 70.0%	7000	41.9	8:26:44
: 80.0%	8000	41.9	4:49:34
: 90.0%	9000	41.9	2:06:41
: 100.0%	10000	41.9	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	41.9	5:15:10:26
: 30.0%	3000	41.9	2:11:08:43
: 40.0%	4000	41.9	1:9:48:03
: 50.0%	5000	41.9	21:07:40
: 60.0%	6000	41.9	13:31:24
: 70.0%	7000	41.9	8:27:11
: 80.0%	8000	41.9	4:49:51
: 90.0%	9000	41.9	2:06:49
: 100.0%	10000	41.9	0:00
